RANK,NAME,TICKER,INDUSTRIES,Country,EMPLOYEES,Glassdoor Rating,City,1 year stock performance,return on equity,Analyst Recommendation Mean,Operating Income,Operating income per employee,MSCI SECTOR,Sector perf,RELATIVE STOCK PERF,,,,,,,,,
34,Honda Motor,7267.T,Automotive (Automotive and Suppliers),Japan,211374,3.9,Tokyo,-10.67,6.65,2.1,2.18174E+12,10321709,MSCI World Automobiles Index,-48.96,38.29,,,,,,,,,
35,3M,MMM,Conglomerate,United States,95000,3.8,Saint Paul,-28.67,45.93,3.2,6968999936,73357,MSCI World Index,-17.73,-10.94,,,,,,,,,
36,Yamaha,7272.T,"Engineering, Manufacturing",Japan,19895,3.6,Hamamatsu,3.42,16.98,2.3,2.58781E+11,13007338,MSCI World Industrials Index,-13.2,16.62,,,,,,,,,
37,Nike,NKE,"Clothing, Shoes, Sports Equipment",United States,73300,4.1,Beaverton,-14.47,37.32,2.2,7336999936,100095,MSCI World Consumer Durables & Apparel,-26.29,11.82,,,,,,,,,
38,Siemens,SIE.DE,"Engineering, Manufacturing",Germany,303000,4.1,Munich,-7.49,8.5,2.1,9939999744,32805,MSCI World Industrials Index,-13.2,5.71,,,,,,,,,
39,Puma,PUM.DE,"Clothing, Shoes, Sports Equipment",Germany,14000,4.1,Herzogenaurach,-33.42,16.98,2,795600000,56828,MSCI World Consumer Durables & Apparel,-26.29,-7.13,,,,,,,,,
40,UKG,KRO,"IT, Internet, Software & Services",United States,15000,4,Weston,-29.86,18.34,3.3,250500000,16700,MSCI World Information Technology Index,-30.79,0.93,,,,,,,,,
42,Marriott International,MAR,Travel & Leisure      ,United States,120000,4,Bethesda,-3.67,217.36,2.6,3350000128,27916,"MSCI World Hotels, Restaurants and Leisure Index",-15.27,11.6,,,,,,,,,
43,Northrop Grumman,NOC,Aerospace & Defense,United States,90000,4,Falls Church,23.97,43.58,2.3,8579999744,95333,MSCI World Aerospace and Defense Index,12.86,11.11,,,,,,,,,
44,Volkswagen Group,VOW.DE,Automotive (Automotive and Suppliers),Germany,668000,4.1,Wolfsburg,-41.29,10.19,2,30232999936,45258,MSCI World Automobiles Index,-48.96,7.67,,,,,,,,,
45,PayPal,PYPL,Banking and Financial Services,United States,30900,4,San Jose,-56.61,10.86,2.1,4771999744,154433,MSCI ACWI Financials Index,-9.23,-47.38,,,,,,,,,
46,Saudi Arabian Oil Company (Saudi Aramco),2222.SR,"Construction, Oil & Gas Operations, Mining and Chemicals",Saudi Arabia,70000,4,Dhahran,-4.54,42.83,2.9,1.19662E+12,17094556,MSCI World Commodity Producers Index,31.78,-36.32,,,,,,,,,
47,Tencent Holdings,0700.HK,"IT, Internet, Software & Services",China,112771,4.1,Shenzhen,-18.96,20.29,1.8,1.53593E+11,1361990,MSCI World Information Technology Index,-30.79,11.83,,,,,,,,,
50,Johnson & Johnson,JNJ,Drugs & Biotechnology,United States,130000,4.2,New Brunswick,3.63,26.45,2.4,32014999552,246269,"MSCI World Pharmaceuticals, Biotechnology and Life Sciences Index",-0.61,4.24,,,,,,,,,
51,Target,TGT,Retail and Wholesale,United States,450000,3.6,Minneapolis,-29.61,27.78,2.2,7576999936,16837,MSCI World Food & Staples Retailing Index,-11.53,-18.08,,,,,,,,,
52,The Home Depot,HD,Retail and Wholesale,United States,30000,4,Atlanta,-14.98,1465.49,2.2,27324000256,910800,MSCI World Food & Staples Retailing Index,-11.53,-3.45,,,,,,,,,
53,Hyatt Hotels,H,Travel & Leisure      ,United States,164000,4,Chicago,8.2,3.75,2.3,723000000,4408,"MSCI World Hotels, Restaurants and Leisure Index",-15.27,23.47,,,,,,,,,
55,Ford Motor,F,Automotive (Automotive and Suppliers),United States,26000,4.1,Dearborn,-47.16,22.49,2.7,16682999808,641653,MSCI World Automobiles Index,-48.96,1.8,,,,,,,,,
